
[08:59:20] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[08:59:35] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[08:59:53] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:03:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:04:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:05:07] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:09:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:09:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:10:17] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:14:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:15:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:15:27] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:19:23] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:20:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:20:36] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:24:33] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:25:25] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:25:46] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:29:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:30:35] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:30:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:34:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:35:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:36:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:40:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:40:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:41:15] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:45:14] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:46:06] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:46:25] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:50:24] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:51:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:51:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:55:33] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:56:28] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[09:56:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:00:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:01:39] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:01:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:05:54] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:06:49] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:07:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:11:04] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:11:59] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:12:13] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:16:15] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:17:11] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:17:23] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:21:25] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:22:21] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:22:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:26:34] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:27:33] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:27:44] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:31:45] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:32:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:32:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:36:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:37:53] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:38:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:42:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:43:03] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:43:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:47:16] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:48:12] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:48:26] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:52:25] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:53:23] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:53:36] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:57:35] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:58:33] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[10:58:47] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:02:45] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:03:43] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:03:56] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:07:55] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:08:53] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:09:07] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:13:05] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:14:03] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:14:17] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:18:15] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:19:13] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:19:27] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:23:24] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:24:24] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

[11:24:38] G23 Auto 运行 | 总收益:0.00% | 参数:RSI14/30/70

